Indicator,Now_Score_1_10,Thirty_Day_Trend,Rationale,Evidence_Snippet
Security apparatus,6,steady,"Curfews enforced in Dar, visible deployments, arrests reported. High capacity with reputational costs.","Based on recent X activity, Tanzania has experienced significant unrest tied to its 2025 general elections, including protests over opposition bans, leading to curfews, internet blackouts, and international travel warnings. Below is a chronological summary of key global security updates highlighted in posts from the past week. These focus on developments with broader implications, such as diplomatic advisories and regional stability risks."
Factionalized elites,6,rising,Polarized positions around election results and opposition exclusions. No verified elite splits yet.,"•	Nationwide Curfew and Security Deployment: Tanzanian police imposed a curfew starting at 6 PM EAT amid widespread protests, with massive security forces deployed in urban areas like Dar es Salaam. Power outages and media restrictions were also reported, putting President Samia Suluhu Hassan’s administration under scrutiny. 0 4 11 19"
Group grievance,7,rising,"Youth led mobilization, grievance narratives on X, casualty claims under verification.","•	Protests Escalate into Day 3: Demonstrations in Dar es Salaam and Arusha intensified, with crowds demanding military intervention. The government extended the curfew, shut down internet services, postponed school reopenings, and allowed remote work for civil servants. At least two fatalities were reported from security force responses involving live fire and tear gas. 6 18"
Economic decline,5,rising,"Urban business disruptions, curfew costs, payments and fintech outages tied to shutdowns.","•	Continued Curfew and Communication Blackouts: Locally enforced curfews persisted as election results were awaited, with blocked internet hindering all forms of contact. US citizens were again advised to avoid airports unless flights were confirmed by phone. 7"
Uneven development,4,steady,Not the proximate trigger but shapes background resentment.,"•	Abductions and Escalating Tensions: Sources reported rising concerns over abductions and killings linked to protests, urging citizens to stay vigilant. Internet, curfew, and power cuts continued nationwide. 8 9 15"
Human flight and brain drain,3,steady,"No acute surge detected in data window, remains a medium term risk.","Based on recent X searches for global security-related posts (focusing on protests, curfews, advisories, violence, and election unrest), here is a curated list of unique post URLs from the past week. These align with the key updates previously summarized. I’ve included the post ID, author, date, and a brief snippet for context. For brevity, I’ve limited to 20 representative posts across dates, sorted chronologically."
State legitimacy,8,rising,Contested result near 98 percent with exclusions. Perceived lack of credible dispute resolution.,"•	US Embassy Security Alert: The US issued a nationwide advisory urging American citizens to shelter in place due to demonstrations, violence, and roadblocks. Internet disruptions were complicating communications, with risks heightened around government sites and party headquarters. 1 10 16"
Public services,4,steady,Core services intact but trust degraded by disruptions and security posture.,"•	Ongoing US Advisory Updates: The US Embassy reiterated shelter-in-place recommendations, noting intermittent internet access and canceled international flights. Road travel was deemed high-risk due to violence outbreaks. 5"
Human rights and rule of law,7,rising,"Detentions, crowd control injuries, blackout linked claims. Verification ongoing.",Nigerians Urged to Promote Unity to Address Insecurity – Tanzania News Reports
Demographic pressures,5,steady,Youth bulge central to mobilization; no acute natural hazard trigger observed.,Romania to Enhance Investment and Economic Cooperation with Ethiopia : Ambassador Pataki – Tanzania News Reports
Refugees and IDPs,2,steady,No verified displacement surge within the snapshot period.,A patriot does not destroy property : Inside Samia victory speech
External intervention,3,steady,Statements and monitoring expected. No hard intervention signals in the window.,Chadema :  No genuine election took place  as Tanzania imposes curfew
